actionId,modelId,schemaStatus,displayState,condition,runtimeNextAction,displayRouteAlias,nextModel,allowedTaskType,blockedIf,userFacingPrompt,canSuggestTransition,canWriteControlState,controlledIngestWritesState,terminalEvent
REQ_RENDER_CONFIRMATION,requirement_confirmation,not_established,draft,draft_ready_and_language_selected,,render_requirement_confirmation,requirement_confirmation,render_confirmation,html_render_failed,Render the requirement confirmation page and wait for exact hash confirmation.,false,false,false,
REQ_INGEST_CONFIRMATION,requirement_confirmation,not_established,awaiting_user_confirmation,user_exact_phrase_and_hashes_match,,ingest_requirement_confirmation,architecture_confirmation,controlled_ingest,hash_mismatch,Record requirement confirmation through controlled ingest.,true,false,true,
ARCH_RENDER_CONFIRMATION,architecture_confirmation,stale,stale_or_missing,architecture_confirmation_required,prepare_architecture_confirmation,render_architecture_confirmation,architecture_confirmation,render_architecture_confirmation,missing_impact_scan_or_hash_mismatch,Render the architecture confirmation page and wait for confirmation.,false,false,false,
READY_RUN_GATE,implementation_readiness,not_established,ready_to_check,confirmed_source_and_architecture_active,run_implementation_readiness_gate,run_readiness_gate,execution_closure,readiness_gate,readiness_blocked,Run the governed implementation-readiness gate.,true,false,false,
EXEC_DISPATCH,execution_closure,not_established,ready,readiness_passed,dispatch_implement,dispatch_implementation_trace,execution_closure,implement_trace_slice,model_packet_missing_or_stale,Execute traceRows and write runtime closure evidence.,false,false,false,
AUDIT_DISPATCH,audit_review,not_established,ready,execution_closure_pass,dispatch_review,dispatch_audit_review,audit_review,audit_review,open_execution_gap,Run audit review and close RCA or rerun findings.,false,false,false,
DELIVERY_RUN_CLOSEOUT,delivery_confirmation,not_established,ready,audit_review_pass_and_current_closeout_evidence,run_closeout,run_delivery_closeout,delivery_confirmation,delivery_closeout,open_blocker_or_stale_evidence,Run the delivery closeout gate.,false,false,false,
DELIVERY_RENDER_CLOSEOUT_PAGE,delivery_confirmation,awaiting_user_acceptance,closeout_pass,delivery_closeout_gate_passed,,render_closeout_confirmation_page,delivery_confirmation,render_closeout_review,missing_closeout_report_or_renderer_failed,Generate the delivery confirmation page and enter user acceptance.,false,false,false,
DELIVERY_AWAIT_ACCEPTANCE,delivery_confirmation,awaiting_user_acceptance,awaiting_user_acceptance,delivery_confirmation_user_acceptance_requested,await_user_acceptance,await_closeout_acceptance,delivery_confirmation,none,confirmation_page_hash_stale,Wait for the user to review the delivery confirmation page and submit exact closeout confirmation.,false,false,false,
DELIVERY_CONFIRM_CLOSEOUT_ACCEPTANCE,delivery_confirmation,awaiting_user_acceptance,awaiting_user_acceptance,user_exact_closeout_phrase_and_hashes_match,,confirm_closeout_acceptance,delivery_confirmation,controlled_ingest,closeout_acceptance_hash_mismatch_or_request_missing,Run confirm-closeout-acceptance controlled ingest; only successful ingest may produce record_closed.,true,false,true,record_closed
